Ticker,Name,Inception Date,Last Price,Below 52W High %,Below All-Time High %,RSI,Volatility (1M),Volatility (3M),Volatility (6M),Volatility (1Y),Fund Flows/Periodic (M),Fund Flows/Periodic (W),Fund Flows/Periodic (Y),EMA (10D),EMA (20D),EMA (50D),EMA (100D),EMA (150D),EMA (200D),EMA (250D),EMA (300D),EMA (5D),EMA (21D),RSI 10D,Price Chg. % (1M),Price Chg. % (3M),Price Chg. % (1W),Price Chg. % (6M),Price Chg. % (1Y),Price Chg. % (3Y),Price Chg. % (5Y),Price Chg. % (10Y),Classification,All-Time High,All-Time Low,AUM,Class,Rel. Volume,30-Day SEC Yield,SEC Yield,P/E (LTM),P/E (NTM),Div Yield (Ind)
EWS,iShares MSCI Singapore,Mar-12-1996,28.3800,-0.0428,-0.1115,54.85,21.81,17.87,16.20,18.33,40.23,6.90,-107.46,28.1289,28.0373,28.0832,28.0320,27.7707,27.3806,26.9190,26.4275,28.2885,28.0364,57.17,0.0411,-0.0091,0.0057,-0.0386,0.3657,0.4176,0.2000,0.3387,Asia ex-Japan Equity,31.9400,6.1000,821.54,Equity/Broad Equity/Strategy,1.1,0.0274,0.0274,15.8,15.8,0.0397
EWU,iShares UK ETF,Mar-12-1996,46.3200,-0.0531,-0.1541,54.37,21.82,18.40,15.24,14.66,322.50,0.00,-434.98,45.7018,45.7028,45.7776,45.0430,44.1701,43.3460,42.5894,41.9384,46.0368,45.7160,57.53,0.0065,0.0411,0.0167,0.0912,0.3914,0.4011,0.4470,0.5177,UK Equity Large Cap,54.7600,17.7600,3403.38,Equity/Broad Equity/Strategy,1.4,0.0236,0.0236,19.0,13.2,0.0358
EWW,iShares Mexico ETF,Mar-12-1996,75.9400,-0.0699,-0.0699,53.98,30.66,30.10,24.56,22.85,-324.21,-30.54,-132.84,74.8616,74.6492,74.7704,73.0128,70.9348,69.1593,67.8194,66.9131,75.5987,74.6680,56.78,0.0301,0.0861,0.0094,0.1676,0.5651,0.2952,0.6793,0.4905,Equity Miscellaneous,81.6499,6.8125,2124.06,Equity/Broad Equity/Strategy,1.2,0.0251,0.0251,16.7,10.5,0.0317
EWY,iShares MSCI Korea ETF,May-09-2000,127.1900,-0.1753,-0.1753,49.83,67.21,54.44,44.26,36.35,512.99,-58.45,7951.63,125.3234,126.9380,125.1807,115.9842,107.8298,101.4221,96.4439,92.6530,125.2012,127.0446,50.52,0.0036,0.1884,0.0340,0.5260,1.5047,1.1212,0.3916,1.5023,Korea Equity,154.2200,10.3200,16536.02,Equity/Broad Equity/Strategy,0.7,0.0027,0.0027,18.5,7.8,0.0160
EWZ,iShares MSCI Brazil,Jul-10-2000,38.4600,-0.0310,-0.6237,57.88,36.42,31.59,27.80,24.98,117.29,88.22,3975.53,37.8042,37.4725,36.8362,35.3693,34.1042,33.1594,32.4924,32.0974,38.2226,37.4554,60.73,0.0601,0.1761,0.0018,0.2958,0.6058,0.4197,0.1406,0.5409,Latin America Equity,102.2100,5.3500,9890.26,Equity/Broad Equity/Strategy,0.8,0.0481,0.0481,13.2,11.2,0.0429
EZA,iShares MSCI South Africa ETF,Feb-03-2003,68.4100,-0.1632,-0.1632,49.19,44.00,41.19,35.43,29.97,-195.21,-19.33,263.66,67.2296,67.9533,70.0022,69.3151,67.3321,65.2420,63.2636,61.5127,67.7774,68.0635,52.47,-0.0299,-0.0425,0.0090,0.0559,0.6779,0.6104,0.3609,0.3712,Equity Miscellaneous,81.7550,17.9650,733.13,Equity/Broad Equity/Strategy,0.6,0.0142,0.0142,14.3,9.6,0.0619
EZU,iShares Eurozone ETF,Jul-25-2000,63.4900,-0.0857,-0.0857,50.79,27.54,21.36,17.15,17.83,-359.90,-106.37,-1148.56,62.6793,62.9659,64.0683,63.9801,63.1748,62.2045,61.2281,60.3532,63.0572,63.0188,54.17,0.0028,-0.0302,0.0136,0.0221,0.3205,0.3975,0.3327,0.9228,Europe Equity Large Cap,69.4400,39.1200,9078.76,Equity/Broad Equity/Europe,1.3,0.0199,0.0199,18.4,14.8,0.0288
FXB,Invesco GBP Trust,Jun-21-2006,127.6730,-0.0408,-0.3962,45.51,8.80,7.64,6.73,6.96,-6.18,-19.03,0.12,127.6618,128.0584,128.7367,128.8912,128.7303,128.4335,128.0572,127.7321,127.4698,128.0950,46.37,-0.0077,-0.0131,0.0025,-0.0100,0.0427,0.0675,-0.0367,-0.0715,Currency,211.4400,102.2000,63.60,Currency/Pound Sterling/Pound Sterling,1.4,,,,,0.0231
FXE,Invesco Euro Trust,Dec-09-2005,107.0110,-0.0406,-0.3333,50.59,7.64,7.59,6.04,7.55,-47.99,-47.95,158.90,106.6188,106.7785,107.3563,107.5290,107.2544,106.8013,106.3017,105.8916,106.6790,106.8029,53.63,-0.0006,-0.0070,0.0030,-0.0042,0.0628,0.0613,-0.0379,-0.0370,Currency,160.5000,88.3700,431.36,Currency/Euro/Europe,0.4,,,,,0.0084
FXF,Invesco Swiss Franc ETF,Jun-21-2006,110.6640,-0.0485,-0.2090,38.95,7.03,9.45,7.84,9.53,-28.08,-5.52,306.67,110.9378,111.5123,112.1892,111.9568,111.3457,110.6233,109.8802,109.2405,110.6864,111.5609,38.14,-0.0263,-0.0017,0.0023,-0.0014,0.0686,0.1235,0.1328,0.0988,Currency,139.9100,78.4300,509.07,Currency/Swiss Franc/Swiss Franc,0.8,,,,,
FXI,iShares China Large ETF,Oct-05-2004,35.4800,-0.1552,-0.5152,42.26,22.86,20.99,20.94,21.82,-43.49,0.00,-1374.47,35.5485,35.8717,36.9228,37.7465,37.8435,37.5649,37.0671,36.4651,35.5034,35.9109,43.79,-0.0095,-0.0967,-0.0117,-0.1332,0.1827,0.2113,-0.2370,0.0951,Greater China Equity,73.1867,16.7333,5867.22,Equity/Size and Style/Large Cap,1.1,0.0175,0.0175,11.8,10.6,0.0261
FXY,Invesco Yen Trust,Feb-12-2007,57.5500,-0.1232,-0.5581,42.70,8.41,9.15,8.15,9.99,-17.34,0.00,-141.97,57.6364,57.8030,58.2629,58.8703,59.3897,59.7815,60.0559,60.2973,57.5888,57.8217,43.03,-0.0110,-0.0179,-0.0057,-0.0500,-0.0764,-0.1858,-0.3299,-0.3553,Currency,130.2200,57.1700,465.77,Currency/Japanese Yen/Japanese Yen,1.1,,,,,
GDX,VanEck Gold Miners ETF,May-16-2006,94.9700,-0.1895,-0.1895,52.07,59.82,61.22,54.09,45.58,-576.43,136.53,264.29,91.6488,92.5088,94.7423,91.0498,85.7558,80.7930,76.4084,72.6506,93.2586,92.6706,55.74,-0.0632,0.0429,0.0349,0.2339,1.2912,1.7584,1.7990,3.5703,Precious Metals Sector Equity,117.1750,12.4000,29115.05,Equity/Sector/Materials,0.5,0.0034,0.0034,21.7,12.2,0.0067
